run_id,completed,predicates,total_clusters,avg_cluster_size,biggest_cluster_size,biggest_cluster,total_donors,donor_type,total_run_time,donor_cluster_ratio,settings_file,settings_file_clean,processing
17,11/29/20 13:34,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",8275,3.959033233,141,unitemized:281958,57603,CORP,3367.898362,6.961087613,dedupe_extension/settings_0,settings_0,0
18,11/29/20 13:36,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",8635,3.422698321,171,unitemized unitemized:227955,57603,CORP,143.2049811,6.670874349,dedupe_extension/settings_1,settings_1,0
19,11/29/20 13:49,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",8306,4.008668432,172,unitemized unitemized:227955,57603,CORP,753.9021609,6.935107151,dedupe_extension/settings_2,settings_2,0
20,11/29/20 14:02,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",8355,3.981448235,157,unitemized:281959,57603,CORP,823.2069802,6.89443447,dedupe_extension/settings_3,settings_3,0
21,11/29/20 14:44,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",8286,3.949312093,199,unitemized unitemized:227955,57603,CORP,2512.465557,6.951846488,dedupe_extension/settings_4,settings_4,0
22,11/29/20 16:36,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",12144,4.179018445,196,unitemized:396629,82661,CORP,6591.080133,6.806735837,dedupe_extension/settings_0,settings_0,0
23,11/29/20 16:41,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",12981,3.544796241,222,unitemized:319282,82661,CORP,270.6086998,6.367845312,dedupe_extension/settings_1,settings_1,0
24,11/29/20 17:12,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",12241,4.207090924,219,unitemized:319282,82661,CORP,1885.442988,6.752797974,dedupe_extension/settings_2,settings_2,0
25,11/29/20 17:49,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",12236,4.202925793,202,unitemitzed:396626,82661,CORP,2170.559486,6.755557372,dedupe_extension/settings_3,settings_3,0
26,11/29/20 19:13,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",12099,4.189685098,249,unitemized:319282,82661,CORP,5078.115249,6.832052236,dedupe_extension/settings_4,settings_4,0
27,11/29/20 21:35,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",15681,4.379440087,235,unitemized unitemized:404309,106745,CORP,8359.066649,6.807282699,dedupe_extension/settings_0,settings_0,0
28,11/29/20 21:41,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",16838,3.728887041,293,unitemized unitemized:404309,106745,CORP,351.1516581,6.339529635,dedupe_extension/settings_1,settings_1,0
29,11/29/20 22:12,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",16246,4.288686446,278,unitemized unitemized:404309,106745,CORP,1884.292302,6.570540441,dedupe_extension/settings_2,settings_2,0
30,11/29/20 22:43,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",16092,4.32351479,252,unitemized unitemized:404309,106745,CORP,1812.28296,6.633420333,dedupe_extension/settings_3,settings_3,0
31,11/30/20 0:01,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",15850,4.336719243,320,unitemized unitemized:404309,106745,CORP,4726.857347,6.734700315,dedupe_extension/settings_4,settings_4,0
32,11/30/20 2:44,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",19102,4.491885666,292,unitemized:483508,129832,CORP,9564.475617,6.796775207,dedupe_extension/settings_0,settings_0,0
33,11/30/20 2:52,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",20720,3.796862934,331,unitemized unitemized:483507,129832,CORP,474.204515,6.266023166,dedupe_extension/settings_1,settings_1,0
34,11/30/20 3:21,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",20004,4.304739052,334,unitemized unitemized:483507,129832,CORP,1717.644825,6.49030194,dedupe_extension/settings_2,settings_2,0
35,11/30/20 3:47,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",19688,4.392167818,299,unitemized:483508,129832,CORP,1585.336788,6.594473791,dedupe_extension/settings_3,settings_3,0
36,11/30/20 5:48,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",19162,4.486013986,382,unitemized unitemized:483507,129832,CORP,7250.427141,6.775493164,dedupe_extension/settings_4,settings_4,0
93,12/7/20 13:36,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",4129,3.210220392,93,unitemized cash unitemized cash:118660,31046,CORP,63.85196781,7.519011867,dedupe_extension/settings/settings_1,settings_1,1
94,12/7/20 13:54,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",4124,3.631910766,98,unitemized cash unitemized cash:118660,31046,CORP,1080.197857,7.528128031,dedupe_extension/settings/settings_4,settings_4,1
95,12/7/20 14:08,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",4129,3.210220392,93,unitemized cash unitemized cash:118660,31046,CORP,62.7628758,7.519011867,dedupe_extension/settings/settings_1,settings_1,1
96,12/7/20 14:26,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",4114,3.638794361,98,unitemized cash unitemized cash:118660,31046,CORP,1048.460149,7.546426835,dedupe_extension/settings/settings_4,settings_4,1
97,12/7/20 14:58,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",4117,3.635657032,73,unitemized cash unitemized cash:118660,31046,CORP,1273.578333,7.54092786,dedupe_extension/settings/settings_0,settings_0,1
98,12/7/20 14:59,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",4150,3.209156627,93,unitemized cash unitemized cash:118660,31046,CORP,61.56593299,7.480963855,dedupe_extension/settings/settings_1,settings_1,1
99,12/7/20 15:01,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",4237,3.625206514,82,unitemized unitemized:118664,31046,CORP,117.9794917,7.32735426,dedupe_extension/settings/settings_2,settings_2,1
100,12/7/20 15:03,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",4209,3.638156332,74,unitemized:153147,31046,CORP,113.4639199,7.376098836,dedupe_extension/settings/settings_3,settings_3,1
101,12/7/20 15:21,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",4124,3.631910766,98,unitemized cash unitemized cash:118660,31046,CORP,1051.636595,7.528128031,dedupe_extension/settings/settings_4,settings_4,1
102,12/7/20 16:20,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",8378,3.938052041,141,unitemized:281958,58646,CORP,3526.952108,7,dedupe_extension/settings/settings_0,settings_0,1
103,12/7/20 16:23,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",8704,3.410500919,171,unitemized unitemized:217325,58646,CORP,144.84692,6.737821691,dedupe_extension/settings/settings_1,settings_1,1
104,12/7/20 16:36,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",8437,3.981510015,173,unitemized unitemized:217325,58646,CORP,815.6798148,6.951048951,dedupe_extension/settings/settings_2,settings_2,1
105,12/7/20 16:50,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",8482,3.955670832,157,unitemized:281959,58646,CORP,847.8874021,6.914171186,dedupe_extension/settings/settings_3,settings_3,1
106,12/7/20 17:33,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",8384,3.92831584,199,unitemized unitemized:217325,58646,CORP,2577.783043,6.994990458,dedupe_extension/settings/settings_4,settings_4,1
107,12/7/20 19:40,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",12306,4.153096051,197,unitemized unitemized:304359,84189,CORP,7569.769692,6.841296928,dedupe_extension/settings/settings_0,settings_0,1
108,12/7/20 19:46,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",13122,3.524081695,224,unitemized unitemized:304359,84189,CORP,305.80251,6.415866484,dedupe_extension/settings/settings_1,settings_1,1
109,12/7/20 20:32,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",12456,4.172687861,220,unitemized unitemized:304359,84189,CORP,2763.687933,6.758911368,dedupe_extension/settings/settings_2,settings_2,1
